,ID,Strain,Weight,stateord,groupwt,totlen,prem1,posm1,spolen1,Jaw
2,shh_15.5_03_442_DN,DUHi,442,329_0_2_2_1,329,802.698145,186.3406408,237.7740304,314.5025295,Upper molar
3,shh_16.0_04_404_FE,FVB,404,329_0_2_2_1,329,790.7563025,156.302521,294.1176471,349.5798319,Upper molar
4,shh_16.0_04_424_DO,DUHi,424,329_0_2_2_1,329,776.6016713,92.47910864,286.908078,296.3788301,Upper molar
5,shh_14.5_07_367_DP,DUHi,367,329_0_2_2_1,329,774.9326146,171.1590296,277.6280323,214.2857143,Upper molar
6,shh_16.0_02_402_FE,FVB,402,329_0_2_2_1,329,757.6601671,74.09470752,318.6629526,317.5487465,Upper molar
7,shh_15.0_01_219_DK,DUHi,219,235_1_2_2_1,235,727.6559865,134.0640809,230.1854975,299.3254637,Upper molar
8,shh_16.0_08_456_DO,DUHi,456,329_0_2_2_1,329,726.0504202,132.3529412,270.1680672,284.8739496,Upper molar
9,shh_16.0_06_481_DO,DUHi,481,329_0_2_2_1,329,711.4206128,148.7465181,272.4233983,298.0501393,Upper molar
10,shh_15.0_03_294_DK,DUHi,294,329_0_2_2_1,329,709.5914742,116.3410302,186.5008881,341.0301954,Upper molar
11,shh_15.5_02_426_DN,DUHi,426,329_0_2_2_1,329,709.5158598,160.2671119,292.1535893,267.1118531,Upper molar
12,shh_16.0_05_476_DO,DUHi,476,329_0_2_2_1,329,709.1922006,159.8885794,235.6545961,310.8635097,Upper molar
13,shh_14.5_19_349_FW,FVB,349,329_0_2_2_1,329,697.4930362,100.2785515,256.8245125,285.7938719,Upper molar
14,shh_16.0_07_452_DO,DUHi,452,329_0_2_2_1,329,696.2184874,136.9747899,240.7563025,264.7058824,Upper molar
15,shh_15.5_10_380_DJ,DUHi,380,329_0_2_2_1,329,684.4537815,133.6134454,235.2941176,219.3277311,Upper molar
16,shh_14.5_17_325_FW,FVB,325,329_0_2_2_1,329,677.4373259,101.3927577,255.1532033,254.5961003,Upper molar
17,shh_15.5_09_457_DV,DUHi,457,329_0_2_2_1,329,669.637883,145.9610028,227.2980501,255.7103064,Upper molar
18,shh_15.5_14_371_DU,DUHi,371,329_0_2_2_1,329,666.8067227,108.4033613,230.2521008,239.9159664,Upper molar
19,shh_15.5_01_359_DN,DUHi,359,329_0_2_2_1,329,652.613828,153.4569983,226.8128162,318.7183811,Upper molar
20,shh_14.0_27_237_DG,DUHi,237,216_1_1_1_1,216,647.4789916,150.8403361,145.7983193,256.7226891,Upper molar
21,shh_14.5_02_228_DG,DUHi,228,235_1_2_2_1,235,642.0168067,140.3361345,178.9915966,316.8067227,Upper molar
22,shh_15.5_07_290_DV,DUHi,290,329_0_2_2_1,329,628.5714286,139.9159664,195.3781513,264.7058824,Upper molar
23,shh_14.5_20_343_DP,DUHi,343,329_0_2_2_1,329,609.4707521,122.005571,243.454039,172.1448468,Upper molar
24,shh_14.5_26_290_FW,FVB,290,329_0_2_2_1,329,607.7994429,97.49303621,256.8245125,242.8969359,Upper molar
25,shh_15.5_13_369_DU,DUHi,369,329_0_2_2_1,329,606.7226891,114.2857143,248.3193277,242.4369748,Upper molar
26,shh_14.5_06_218_FZ,FVB,218,229_0_2_1_1,229,606.1281337,186.0724234,240.1114206,176.0445682,Upper molar
27,shh_15.0_06_259_FD,FVB,259,329_0_2_2_1,329,605.5710306,86.35097493,290.8077994,291.3649025,Upper molar
28,shh_15.0_15_249_FAA,FVB,249,329_0_2_2_1,329,604.2016807,102.9411765,240.7563025,278.5714286,Upper molar
29,shh_15.5_11_340_DV,DUHi,340,329_0_2_2_1,329,599.5798319,135.7142857,158.8235294,269.7478992,Upper molar
30,shh_14.5_28_184_FQ,FVB,184,201_0_1_1_1,201,590.7563025,271.4285714,169.3277311,284.8739496,Upper molar
31,shh_14.5_13_215_FP,FVB,215,201_0_1_1_1,201,590.5292479,128.6908078,218.3844011,255.7103064,Upper molar
32,shh_15.0_13_241_FAA,FVB,241,329_0_2_2_1,329,587.394958,94.11764706,205.4621849,244.5378151,Upper molar
33,shh_16.5_02_271_DW,DUHi,271,329_0_2_2_1,329,584.9582173,115.3203343,204.4568245,235.097493,Upper molar
34,shh_15.0_14_248_FAA,FVB,248,329_0_2_2_1,329,584.4537815,93.69747899,202.5210084,283.6134454,Upper molar
35,shh_15.0_08_259_FD,FVB,259,329_0_2_2_1,329,578.2729805,73.53760446,246.2395543,262.3955432,Upper molar
36,shh_14.5_16_310_FW,FVB,310,329_0_2_2_1,329,578.2729805,34.54038997,232.8690808,246.7966574,Upper molar
37,shh_15.0_05_256_FD,FVB,256,329_0_2_2_1,329,577.7158774,107.5208914,237.3259053,266.2952646,Upper molar
38,shh_15.0_09_186_DJ,DUHi,186,216_1_1_1_1,216,574.9303621,150.9749304,162.1169916,235.097493,Upper molar
39,shh_14.5_30_189_FQ,FVB,189,201_0_1_1_1,201,569.7478992,183.1932773,249.5798319,230.6722689,Upper molar
40,shh_14.5_09_246_FL,FVB,246,329_0_2_2_1,329,569.7478992,91.59663866,236.1344538,254.2016807,Upper molar
41,shh_14.5_03_199-207_FC,FVB,203,201_0_1_1_1,201,562.2743682,158.8447653,176.8953069,222.0216606,Upper molar
42,shh_14.5_01_178_FC,FVB,178,201_0_1_1_1,201,558.6642599,185.0180505,194.0433213,222.9241877,Upper molar
43,shh_15.5_06_244_DV,DUHi,244,235_1_2_2_1,235,558.4033613,149.5798319,150.8403361,225.210084,Upper molar
44,shh_14.5_02_193-197_FC,FVB,195,201_0_1_1_1,201,555.0541516,183.2129964,219.3140794,176.8953069,Upper molar
45,shh_15.0_04_217-218_DJ,DUHi,217.5,227_1_2_1_1,227,552.0891365,168.8022284,99.1643454,250.1392758,Upper molar
46,shh_15.0_14_203_DAB,DUHi,203,216_1_1_1_1,216,550.9749304,228.9693593,180.5013928,118.1058496,Upper molar
47,shh_14.5_12_196-199_DH,DUHi,197.5,216_1_1_1_1,216,550.4201681,302.9411765,133.1932773,138.6554622,Upper molar
48,shh_14.5_19_331_DP,DUHi,331,329_0_2_2_1,329,549.8607242,178.2729805,166.0167131,142.0612813,Upper molar
49,shh_14.5_18_340_FW,FVB,340,329_0_2_2_1,329,548.7465181,81.33704735,192.7576602,239.5543175,Upper molar
50,shh_15.0_03_273_FD,FVB,273,329_0_2_2_1,329,548.2142857,108.0357143,199.1071429,205.3571429,Upper molar
51,shh_14.5_33_208_FZ,FVB,208,201_0_1_1_1,201,546.6386555,124.789916,213.0252101,192.8571429,Upper molar
52,shh_14.5_08_221_FL,FVB,221,329_0_2_2_1,329,546.5181058,75.20891365,174.9303621,298.6072423,Upper molar
53,shh_15.0_16_257_FAA,FVB,257,329_0_2_2_1,329,544.5378151,92.43697479,188.6554622,223.5294118,Upper molar
54,shh_14.5_37_226_FQ,FVB,226,329_0_2_2_1,329,544.1176471,131.9327731,186.5546218,229.4117647,Upper molar
55,shh_14.5_31_203_FZ,FVB,203,201_0_1_1_1,201,543.2773109,165.1260504,222.6890756,183.6134454,Upper molar
56,shh_15.0_06_221_DK,DUHi,221,235_1_2_2_1,235,542.8571429,181.092437,177.3109244,149.1596639,Upper molar
57,shh_14.5_04_255-256_DG,DUHi,255.5,227_1_2_1_1,227,542.5716768,209.81755,129.4526499,217.6368375,Upper molar
58,shh_15.0_07_234_DK,DUHi,234,235_1_2_2_1,235,542.0612813,134.8189415,149.3036212,225.0696379,Upper molar
