"","ID","Strain.x","Age","Weight.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","Age.dpc.","Date","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","ident"
"16","shh_13.0_01_90_FX","FVB",13,90,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"90FX",13,"5/12/2015","FVB",90,"FX",3,TRUE,13,4.49980967033027,"FX",-2,4.57510286582909,12.8489947595029,12.6861562917487,4.53218574439476,12.756176832883,12.7135177661869,12.2513680340069,13.1460378183533,"001",12.686840828128,12.8381666052103,4
"17","shh_13.0_02_100_FX","FVB",13,100,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"100FX",13,"5/12/2015","FVB",100,"FX",3,TRUE,13,4.60517018598809,"FX",-2,4.68046338148691,13.0768605688613,12.9140221011071,4.63754626005259,12.9840426422414,12.9417770801145,12.4942805635072,13.3657021339385,"001",12.9144859985071,13.0657678550968,6
"18","shh_13.5_09_101_FK","FVB",13.5,101,"FK",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"101FK",13.5,"12/10/2014","FVB",101,"FK",4,TRUE,13.5,4.61512051684126,"FK",-1.5,4.92499702321291,13.6057195616191,12.9355419292807,4.74836741458107,13.2237183111862,13.064719158483,12.5883719249528,13.4885106024811,"001",12.9660013793874,13.5261363797831,23
"19","shh_13.5_10_105_FK","FVB",13.5,105,"FK",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"105FK",13.5,"12/10/2014","FVB",105,"FK",4,TRUE,13.5,4.65396035015752,"FK",-1.5,4.96383685652918,13.6897194357532,13.0195418034147,4.78720724789734,13.3077181853203,13.1485230685354,12.6777632638912,13.5705288235198,"001",13.0497577576851,13.6096359905839,24
"20","shh_15.0_08_259_FD","FVB",15,259,"FD",0,2,0,2,1,1,"0_2_2_1","331_0_2_2_1","-",331,"259FD",15,"7/24/2014","FVB",259,"FD",5,TRUE,15,5.55682806169954,"FD",0,5.51758173310363,14.8873172615693,14.9721962731612,5.5399521404033,14.9356982981767,14.9587667389082,14.5565388838269,15.3505832324066,"001",14.9592677865409,14.8944425132931,264
"21","shh_15.0_08_259_FD","FVB",15,259,"FD",0,2,0,2,1,1,"0_2_2_1","331_0_2_2_1","-",331,"259FD",15,"7/24/2014","FVB",259,"FD",5,TRUE,15,5.55682806169954,"FD",0,5.51758173310363,14.8873172615693,14.9721962731612,5.5399521404033,14.9356982981767,14.9587667389082,14.5565388838269,15.3505832324066,"001",14.9592677865409,14.8944425132931,265
"22","shh_15.0_07_294_K","DUHi",15,294,"DK",0,2,0,2,1,1,"0_2_2_1","331_0_2_2_1","-",331,"294DK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","shh_14.5_15_206_FZ","FVB",14.5,206,"FZ",0,2,0,1,0,1,"0_2_1_1","235_0_2_1_1","-",235,"206FZ",14.5,"5/13/2015","FVB",206,"FZ",4,TRUE,14.5,5.32787616878958,"FZ",-0.5,5.34805607413732,14.5206798998766,14.4770363163565,5.33655352808911,14.4958030572702,14.4971338596206,14.0819550866436,14.8921311369464,"001",14.4719028681124,14.5141504953894,210
"24","shh_14.5_32_207_FZ","FVB",14.5,207,"FZ",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","y",211,"207FZ",14.5,"5/13/2015","FVB",207,"FZ",4,TRUE,14.5,5.33271879326537,"FZ",-0.5,5.35289869861311,14.5311531643506,14.4875095808304,5.3413961525649,14.5062763217441,14.507598057171,14.0928224583177,14.9028210431793,"001",14.4823543081907,14.5245030829132,211
"25","shh_15.5_09_457_V","DUHi",15.5,457,"DV",0,2,0,2,1,1,"0_2_2_1","331_0_2_2_1","-",331,"457DV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
