,X,ID,Strain.x,ident,Age,Weight.x,mediantemps,Date.x,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid.x,Age.dpc.,Date.y,Strain.y,Weight.y,Litter,Weekday,indata,age,poids,portee,agerel,poidscor,agecor,agepreditsanscor,poidscor2,agecor2,dev01,dev.inf,dev.sup,sd,dev05,dev15,nid.y
144,144,shh_15.0_08_294_DK,DUHi,181,15,294,15.194,3/13/2014,DK,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,294DK,15,3/13/2014,DUHi,294,DK,5,TRUE,15,5.6835797673,DK,0,5.573150588,15.1993690695,15.4055060658,5.6360952202,15.3168671574,15.349045947,15.0112238114,15.7091943598,1,15.3925807064,15.2272980785,294DK
145,145,shh_14.5_16_310_FW,FVB,465,14.5,310,15.204,3/13/2014,FW,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,310FW,14.5,5/12/2015,FVB,310,FW,3,TRUE,14.5,5.7365722975,FW,-0.5,5.3000332747,14.4168197965,15.3609336052,5.5488605177,14.9549646675,15.1729295169,14.7771752491,15.597538788,1,15.3071180242,14.5373752688,310FW
146,146,shh_14.5_17_325_FW,FVB,468,14.5,325,14.492,05/12/15,FW,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,325FW,14.5,5/12/2015,FVB,325,FW,3,TRUE,14.5,5.7838251823,FW,-0.5,5.3472861596,14.5190147865,15.4631285953,5.5961134026,15.0571596575,15.2751685647,14.8809429881,15.7037546021,1,15.4092738658,14.639132788,325FW
147,147,shh_14.5_20_332_FS,FVB,456,14.5,332,14.585,05/12/15,FS,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,y,325,332FS,14.5,4/28/2015,FVB,332,FS,3,TRUE,14.5,5.8051349689,FS,-0.5,5.2888016541,14.392528891,15.5092158011,5.5831116435,15.0290404298,15.2852971566,14.8784496801,15.725382107,1,15.4459976469,14.533307876,332FS
148,148,shh_15.5_11_340_DV,DUHi,226,15.5,340,14.5,4/28/2015,DV,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,340DV,15.5,10/23/2014,DUHi,340,DV,5,TRUE,15.5,5.8289456176,DV,0.5,5.7447772671,15.5197427999,15.6768589812,5.7927532269,15.6092990232,15.6304727382,15.2912675749,15.9973761301,1,15.6676757066,15.5398727887,340DV
149,149,shh_14.5_18_340_FW,FVB,471,14.5,340,15.546,10/23/2014,FW,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,340FW,14.5,5/12/2015,FVB,340,FW,3,TRUE,14.5,5.8289456176,FW,-0.5,5.3924065949,14.6165978748,15.5607116836,5.6412338378,15.1547427458,15.3723629821,14.9773870714,15.8051388374,1,15.5068227885,14.7365605279,340FW
150,150,shh_14.5_21_344_FS,FVB,458,14.5,344,14.676,05/12/15,FS,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,y,325,344FS,14.5,4/28/2015,FVB,344,FS,3,TRUE,14.5,5.8406416574,FS,-0.5,5.3243083426,14.4693200898,15.5860069999,5.618618332,15.1058316285,15.3627542786,14.9539086983,15.8053998011,1,15.5229266711,14.6102162252,344FS
151,151,shh_14.5_19_349_FW,FVB,473,14.5,349,14.559,4/28/2015,FW,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,-,325,349FW,14.5,5/12/2015,FVB,349,FW,3,TRUE,14.5,5.8550719222,FW,-0.5,5.4185328995,14.673101884,15.6172156928,5.6673601424,15.211246755,15.4287772432,15.0329618834,15.8632500821,1,15.5632195029,14.7928213487,349FW
152,152,shh_15.5_17_353_DAC,DUHi,190,15.5,353,14.73,05/12/15,DAC,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,y,325,353DAC,15.5,4/29/2015,DUHi,353,DAC,4,TRUE,15.5,5.8664680569,DAC,0.5,5.7497523153,15.5290296704,15.746901727,5.816280288,15.6532167427,15.6900466566,15.3415073871,16.0529991766,1,15.7325963228,15.5578033949,353DAC
153,153,shh_14.5_22_353_FS,FVB,459,14.5,353,15.568,4/29/2015,FS,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,y,325,353FS,14.5,4/28/2015,FVB,353,FS,3,TRUE,14.5,5.8664680569,FS,-0.5,5.3501347421,14.5251754869,15.641862397,5.6444447316,15.1616870256,15.4189206566,15.0098371017,15.8630935808,1,15.5785595915,14.6656378772,353FS
154,154,shh_15.5_12_355_DV,DUHi,227,15.5,355,14.616,4/28/2015,DV,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,355DV,15.5,10/23/2014,DUHi,355,DV,5,TRUE,15.5,5.8721177895,DV,0.5,5.787949439,15.6003318425,15.7574480238,5.8359253988,15.6898880658,15.7103253401,15.3719816301,16.0813913554,1,15.7482975923,15.6204291726,355DV
155,155,shh_15.5_01_359_DN,DUHi,209,15.5,359,15.621,10/23/2014,DN,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,359DN,15.5,3/12/2014,DUHi,359,DN,4,TRUE,15.5,5.8833223885,DN,0.5,5.6585711639,15.3588227669,15.7783635318,5.7866793619,15.5979610029,15.6807065036,15.3324813305,16.0594717465,1,15.7516056908,15.409622697,359DN
156,156,shh_14.5_24_359_FS,FVB,461,14.5,359,15.402,03/12/14,FS,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,y,325,359FS,14.5,4/28/2015,FVB,359,FS,3,TRUE,14.5,5.8833223885,FS,-0.5,5.3669890737,14.5616267692,15.6783136793,5.6612990631,15.1981383079,15.4555943805,15.0462197689,15.9015093049,1,15.6149400749,14.7019063036,359FS
157,157,shh_15.5_08_363_DV,DUHi,229,15.5,363,14.647,4/28/2015,DV,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,363DV,15.5,10/23/2014,DUHi,363,DV,5,TRUE,15.5,5.8944028343,DV,0.5,5.8102344838,15.641931103,15.7990472843,5.8582104435,15.7314873263,15.7516387836,15.4121986506,16.1246855373,1,15.7899650845,15.6618953098,363DV
158,158,shh_15.5_13_369_DU,DUHi,221,15.5,369,15.66,10/23/2014,DU,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,369DU,15.5,9/24/2014,DUHi,369,DU,4,TRUE,15.5,5.910796644,DU,0.5,6.0410443324,16.0727814382,15.8296494379,5.96680315,15.934196198,15.8764943882,15.5213214317,16.2605343327,1,15.8414359168,16.0345317174,369DU
159,159,shh_15.5_14_371_DU,DUHi,222,15.5,371,16.111,9/24/2014,DU,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,-,325,371DU,15.5,9/24/2014,DUHi,371,DU,4,TRUE,15.5,5.9162020626,DU,0.5,6.046449751,16.0828716766,15.8397396763,5.9722085686,15.9442864364,15.8865280097,15.5310829712,16.2712842668,1,15.8515780639,16.0446577149,371DU
160,160,shh_14.5_25_373_FS,FVB,463,14.5,373,16.123,9/24/2014,FS,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,-,325,373FS,14.5,4/28/2015,FVB,373,FS,3,TRUE,14.5,5.9215784196,FS,-0.5,5.4052451048,14.6443640398,15.76105095,5.6995550943,15.2808755786,15.5385906558,15.1279715315,15.9885840387,1,15.6975810632,14.7845741379,373FS
35,35,shh_15.5_10_380_DJ,DUHi,211,15.5,380,15.49,03/14/14,DJ,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,380DJ,15.5,3/12/2014,DUHi,380,DN,4,FALSE,15.5,5.9401712527,DN,0.5,5.7154200282,15.4649419484,15.8844827133,5.8435282262,15.7040801844,15.7861311199,15.4375675326,16.1689606963,1,15.8574635998,15.5152460609,380DN
161,161,shh_15.5_15_399_DN,DUHi,212,15.5,399,14.721,4/28/2015,DN,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,Y,325,399DN,15.5,3/12/2014,DUHi,399,DN,4,TRUE,15.5,5.9889614169,DN,0.5,5.7642101923,15.5560180385,15.9755588035,5.8923183903,15.7951562746,15.8769098456,15.526852311,16.26210243,1,15.9480987933,15.6060413072,399DN
