"","ID","Strain.x","Age","Weight.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","Age.dpc.","Date","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","ident"
"175","shh_13.5_20_127_FV","FVB",13.5,127,"FV",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"127FV",13.5,"4/30/2015","FVB",127,"FV",5,TRUE,13.5,4.84418708645859,"FV",-1.5,4.87024430999601,13.4873045060944,13.4309499002545,4.85539169257968,13.4551823807656,13.4434665586406,13.0071461728198,13.8425871768968,"001",13.4273497273551,13.4780596415572,49
"176","shh_14.5_28_184_FQ","FVB",14.5,184,"FQ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","y",199,"184FQ",14.5,"2/26/2015","FVB",184,"FQ",5,TRUE,14.5,5.21493575760899,"FQ",-0.5,5.34288525819314,14.5094968475462,14.2327772783074,5.26995404286017,14.3517666930801,14.2878949941275,13.8781188599984,14.6803275895263,"001",14.2419641438043,14.4699788318933,175
"177","shh_14.5_29_185_FQ","FVB",14.5,185,"FQ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"185FQ",14.5,"2/26/2015","FVB",185,"FQ",5,TRUE,14.5,5.22035582507832,"FQ",-0.5,5.34830532566248,14.5212189623533,14.2444993931146,5.27537411032951,14.3634888078872,14.299472491853,13.8902611075199,14.692110804256,"001",14.2537714017569,14.4818095526136,176
"178","shh_14.5_30_189_FQ","FVB",14.5,189,"FQ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"189FQ",14.5,"2/26/2015","FVB",189,"FQ",5,TRUE,14.5,5.24174701505964,"FQ",-0.5,5.36969651564379,14.5674822212962,14.2907626520574,5.29676530031083,14.4097520668301,14.3456807041504,13.9378048826932,14.7388601407483,"001",14.3000490033863,14.5280813676853,178
"179","shh_14.5_31_203_FZ","FVB",14.5,203,"FZ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"203FZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","shh_14.5_32_207_FZ","FVB",14.5,207,"FZ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","y",199,"207FZ",14.5,"5/13/2015","FVB",207,"FZ",4,TRUE,14.5,5.33271879326537,"FZ",-0.5,5.35289869861311,14.5311531643506,14.4875095808304,5.3413961525649,14.5062763217441,14.507598057171,14.0928224583177,14.9028210431793,"001",14.4823543081907,14.5245030829132,211
"181","shh_14.5_33_208_FZ","FVB",14.5,208,"FZ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"208FZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","shh_14.5_34_209_FZ","FVB",14.5,209,"FZ",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"209FZ",14.5,"5/13/2015","FVB",209,"FZ",4,TRUE,14.5,5.34233425196481,"FZ",-0.5,5.36251415731255,14.5519487561832,14.5083051726631,5.35101161126434,14.5270719135768,14.5284380524311,14.1142432520977,14.9235073617606,"001",14.5030209894727,14.5454183969526,212
"183","shh_14.5_36_214_FZ","FVB",14.5,214,"FZ",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"214FZ",14.5,"5/13/2015","FVB",214,"FZ",4,TRUE,14.5,5.36597601502185,"FZ",-0.5,5.38615592036959,14.6030793855278,14.5594358020076,5.37465337432138,14.5782025429213,14.5796292109399,14.1652704923887,14.9751417456447,"001",14.5542217624477,14.5965771220403,214
"184","shh_14.5_37_226_FQ","FVB",14.5,226,"FQ",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","y",325,"226FQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","shh_13.5_21_136_FU","FVB",13.5,136,"FU",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"136FU",13.5,"4/29/2015","FVB",136,"FU",4,TRUE,13.5,4.91265488573605,"FU",-1.5,4.91437957601236,13.5827569443183,13.5790269137347,4.91339650255487,13.5806308268856,13.5756871032434,13.1425447884378,13.9774601464604,"001",13.5739089881523,13.5789316291366,44
