	ID	Strain	Age	Weight	Clutch	shh_R2_spot	shh_M1_spot	shh_M2_spot	cap_transition	M1_spot_split_LR	shboob	Total_state	stateord	Symmetry	groupwt
127	shh_13.5_05_155-158_C	CD1	13.5	156.5	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	-	145
128	shh_14.0_21_105_DF	DUHi	14.0	105	DF	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	Y	123
129	shh_13.5_06_109_FI	FVB	13.5	109	FI	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
130	shh_12.5_01_109-114_C	CD1	12.5	111.5	C	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
131	shh_13.5_05_67_DQ	DUHi	13.5	67	DQ	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
132	shh_13.5_06_101_DQ	DUHi	13.5	101	DQ	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
133	shh_15.0_09_186_DJ	DUHi	15.0	186	DJ	1	1	0	1	0	1	1_1_1_1	202_1_1_1_1	-	202
134	shh_15.0_14_203_DAB	DUHi	15.0	203	DAB	1	1	0	1	0	1	1_1_1_1	202_1_1_1_1	Y	202
135	shh_15.0_01_219_DK	DUHi	15.0	219	DK	1	2	0	2	1	1	1_2_2_1	235_1_2_2_1	Y	235
136	shh_14.5_01_178_FC	FVB	14.5	178	FC	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
137	shh_14.5_02_193-197_FC	FVB	14.5	195	FC	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
138	shh_14.0_11_195_FP	FVB	14.0	195	FP	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
139	shh_14.0_12_199_FP	FVB	14.0	199	FP	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
140	shh_14.5_13_215_FP	FVB	14.5	215	FP	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
141	shh_13.0_11_114-119_C	CD1	13.0	116.5	C	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
142	shh_13.0_12_114-119_C	CD1	13.0	116.5	C	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
143	shh_14.5_03_199-207_FC	FVB	14.5	203	FC	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
144	shh_14.5_04_199-207_FC	FVB	14.5	203	FC	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	-	325
145	shh_14.5_05_199-207_FC	FVB	14.5	203	FC	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	-	325
146	shh_13.5_13_235-246_C	CD1	13.5	240.5	C	0	2	0	1	0	1	0_2_1_1	227_0_2_1_1	Y	227
147	shh_13.5_14_235-246_C	CD1	13.5	240.5	C	0	2	0	1	0	1	0_2_1_1	227_0_2_1_1	Y	227
148	shh_15.0_05_245_DJ	DUHi	15.0	245	DJ	0	2	0	1	0	1	0_2_1_1	227_0_2_1_1	-	227
149	shh_13.5_07_72_DC	DUHi	13.5	72	DC	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
