"","X","ID","Strain.x","ident","Age","Weight.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid.x","Age.dpc.","Date","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","nid.y"
"33",2,"shh_14.5_15_209-216_DG","DUHi",112,14.5,212.5,"DG",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","Y",211,"212.5DG",14.5,"12/17/2013","DUHi",209,"DG",3,FALSE,14.5,5.34233425196481,"DG",-0.5,5.10779020559835,14.3306857010479,14.7685066242229,5.24148031202723,14.5802436272576,14.668600522157,14.3214394602225,15.0293058579149,"001",14.7435267527557,14.3843630912475,"209DG"
"34",83,"shh_14.5_11_196-199_H","DUHi",123,14.5,197.5,"DH",0,0,0,0,0,1,"0_0_0_1","168_0_0_0_1","-",168,"197.5DH",14.5,"1/22/2014","DUHi",196,"DH",4,FALSE,14.5,5.27811465923052,"DH",-0.5,5.08286021046047,14.284149139344,14.6486285807916,5.1941552462594,14.4919024209691,14.5645601747585,14.2195251480043,14.9193707827691,"001",14.6290669989849,14.3303021231019,"196DH"
"35",40,"shh_14.5_12_196-199_H","DUHi",124,14.5,197.5,"DH",1,0,0,0,0,1,"1_0_0_1","168_1_0_0_1","-",168,"197.5DH",14.5,"1/22/2014","DUHi",199,"DH",4,FALSE,14.5,5.29330482472449,"DH",-0.5,5.09805037595444,14.3125044627162,14.6769839041639,5.20934541175337,14.5202577443414,14.5926873878146,14.2479904392489,14.9478174410409,"001",14.6573157763583,14.3585156784248,"199DH"
"36",126,"shh_14.5_13_211-216_H","DUHi",126,14.5,213.5,"DH",1,1,0,1,0,1,"1_1_1_1","216_1_1_1_1","-",216,"213.5DH",14.5,"1/22/2014","DUHi",215,"DH",4,FALSE,14.5,5.37063802812766,"DH",-0.5,5.17538357935761,14.4568615463028,14.8213409877504,5.28667861515654,14.6646148279279,14.7361043803072,14.3940313662964,15.0921053862029,"001",14.8013891089303,14.5025749801744,"215DH"
"37",62,"shh_14.5_14_163_DH","DUHi",122,14.5,163,"DH",0,0,0,0,0,1,"0_0_0_1","168_0_0_0_1","y",168,"163DH",14.5,"1/22/2014","DUHi",163,"DH",4,TRUE,14.5,5.09375020080676,"DH",-0.5,4.89849575203671,13.9399979292057,14.3044773706534,5.00979078783564,14.1477512108309,14.2217559666086,13.8659885561882,14.5801416844042,"001",14.285464014067,13.986907969257,"163DH"
"38",75,"shh_14.5_14_211-216_H","DUHi",125,14.5,213.5,"DH",1,0,0,0,0,1,"1_0_0_1","168_1_0_0_1","-",168,"213.5DH",14.5,"1/22/2014","DUHi",211,"DH",4,FALSE,14.5,5.35185813347607,"DH",-0.5,5.15660368470602,14.4218053129817,14.7862847544294,5.26789872050495,14.6295585946069,14.7011467359834,14.3582593505674,15.0567697254587,"001",14.766469158282,14.4676629978657,"211DH"
"39",10,"shh_14.5_17_237-241_DH","DUHi",128,14.5,239,"DH",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","y",211,"239DH",14.5,"1/22/2014","DUHi",237,"DH",4,FALSE,14.5,5.46806014113513,"DH",-0.5,5.27280569236508,14.6387183877591,15.0031978292068,5.38410072816401,14.8464716693843,14.9169402120899,14.5760058592316,15.2720920872789,"001",14.9826885882682,14.6840507256882,"237DH"
"40",32,"shh_14.5_08_247_I","DUHi",139,14.5,247,"DI",0,2,0,1,0,1,"0_2_1_1","235_0_2_1_1","-",235,"247DI",14.5,"3/4/2014","DUHi",247,"DI",3,TRUE,14.5,5.50938833662798,"DI",-0.5,5.28360442119067,14.6588762621404,15.0803447403484,5.41230125298994,14.8991132947189,14.9778774944449,14.6324243452438,15.3398384353826,"001",15.056877825211,14.7108911799777,"247DI"
"41",37,"shh_14.5_09_238_I","DUHi",137,14.5,238,"DI",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","y",211,"238DI",14.5,"3/4/2014","DUHi",238,"DI",3,TRUE,14.5,5.47227067367148,"DI",-0.5,5.24648675823417,14.5895891081347,15.0110575863427,5.37518359003343,14.8298261407132,14.909217203229,14.5637077692319,15.2705959160907,"001",14.9879106149504,14.6416831686092,"238DI"
"42",31,"shh_14.5_10_263_I","DUHi",142,14.5,263,"DI",0,2,0,2,0,1,"0_2_2_1","331_0_2_2_1","-",331,"263DI",14.5,"3/4/2014","DUHi",263,"DI",3,TRUE,14.5,5.57215403217776,"DI",-0.5,5.34637011674046,14.7760403308731,15.1975088090811,5.47506694853972,15.0162773634517,15.0940949046822,14.7512991299122,15.458434794126,"001",15.1740595706277,14.8271008611318,"263DI"
